Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_64_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,64,0.0001,0.2,3,64,100,15,0.982,0.982,0.9821,0.982,0.0881,0.0686,0.979,0.979,0.9787,0.9790026707509489
BS_32_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,32,0.01,0.2,3,256,100,15,0.974,0.974,0.9742,0.974,0.1009,0.0768,0.98,0.98,0.9785,0.9784968337305882
BS_128_LR_0.0001_DO_0.4_FLN_256_EP_100_PAT_15_HL_2,128,0.0001,0.4,2,256,100,15,0.978,0.978,0.9782,0.978,0.0936,0.0698,0.9865,0.9865,0.9785,0.9789979019505731
BS_64_LR_0.001_DO_0.4_FLN_128_EP_100_PAT_15_HL_3,64,0.001,0.4,3,128,100,15,0.983,0.983,0.983,0.983,0.0792,0.0623,0.9835,0.9835,0.9783,0.9784820321538953
BS_32_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,32,0.001,0.2,2,128,100,15,0.984,0.984,0.984,0.984,0.0726,0.0564,0.9885,0.9885,0.9783,0.9784820321538953
BS_64_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,64,0.0001,0.3,2,128,100,15,0.977,0.977,0.9772,0.977,0.0852,0.0656,0.9905,0.9905,0.9782,0.9784958825904241
BS_32_LR_0.001_DO_0.4_FLN_256_EP_100_PAT_15_HL_3,32,0.001,0.4,3,256,100,15,0.984,0.984,0.9841,0.984,0.0837,0.0624,0.985,0.985,0.9778,0.9779796893840637
BS_128_LR_0.0001_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,256,100,15,0.977,0.977,0.9772,0.977,0.0869,0.068,0.9875,0.9875,0.9777,0.9779908767842994
BS_64_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,64,0.01,0.3,2,128,100,15,0.983,0.983,0.9831,0.983,0.0785,0.0704,0.9905,0.9905,0.9777,0.9779832700572361
BS_128_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,128,0.01,0.2,3,64,100,15,0.979,0.979,0.9791,0.979,0.0949,0.0704,0.9825,0.9825,0.9773,0.9774771938011638
BS_32_LR_0.001_DO_0.2_FLN_256_EP_100_PAT_15_HL_3,32,0.001,0.2,3,256,100,15,0.981,0.981,0.981,0.981,0.0702,0.0594,0.984,0.984,0.9768,0.9769696679129544
BS_32_LR_0.001_DO_0.4_FLN_64_EP_100_PAT_15_HL_3,32,0.001,0.4,3,64,100,15,0.98,0.98,0.9801,0.98,0.0932,0.068,0.9815,0.9815,0.9768,0.9769745406536665
BS_32_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,32,0.01,0.2,3,128,100,15,0.978,0.978,0.9781,0.978,0.0951,0.0762,0.9885,0.9885,0.9767,0.9769907112353485
BS_128_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,128,0.01,0.2,2,64,100,15,0.982,0.982,0.982,0.982,0.0811,0.0653,0.9905,0.9905,0.9766,0.9769749831097445
BS_128_LR_0.01_DO_0.2_FLN_256_EP_100_PAT_15_HL_2,128,0.01,0.2,2,256,100,15,0.98,0.98,0.9801,0.98,0.097,0.0698,0.9905,0.9905,0.9758,0.9759687426353709
BS_128_LR_0.0001_DO_0.4_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.4,2,128,100,15,0.98,0.98,0.9801,0.98,0.1081,0.0854,0.9855,0.9855,0.9755,0.9759778291466619
BS_128_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_3,128,0.0001,0.3,3,128,100,15,0.975,0.975,0.9752,0.975,0.0916,0.0671,0.989,0.989,0.9753,0.9759910583081052
BS_64_LR_0.001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,64,0.001,0.2,2,128,100,15,0.984,0.984,0.984,0.984,0.0739,0.0613,0.9865,0.9865,0.9753,0.9754655882376713
BS_32_LR_0.001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,32,0.001,0.3,2,128,100,15,0.984,0.984,0.9841,0.984,0.0853,0.065,0.9855,0.9855,0.9753,0.9754891422341057
BS_64_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,64,0.0001,0.3,3,64,100,15,0.978,0.978,0.9781,0.978,0.1017,0.0781,0.984,0.984,0.9752,0.9759807253454954
BS_128_LR_0.0001_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.3,2,128,100,15,0.979,0.979,0.9791,0.979,0.1052,0.085,0.9785,0.9785,0.975,0.9754750136783895
BS_128_LR_0.01_DO_0.2_FLN_128_EP_100_PAT_15_HL_3,128,0.01,0.2,3,128,100,15,0.977,0.977,0.9771,0.977,0.1006,0.0817,0.9755,0.9755,0.9749,0.9754720462134464
